Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,15484188.0,1244885.0,15,03-09-2026,1244885.0,15,15484188.0,12.44,0.0,0,1.55,15484188.0,0.0,15484188.0,0.0,False,False,False,13.02,69.12,11.3,13.45,-6.2,4.7,4.7,364.0,1175.0,-61.0,,-98.0,0.01,2.46,0.44,True,,0.426,25,9,10,-3,41,Watchlist
DBOL,Dhampur Bio Organics Limited,15157366.0,137268.0,6,06-08-2026,137268.0,6,15157366.0,110.42,0.0,0,1.52,15157366.0,0.0,15157366.0,0.0,False,False,False,124.99,50.45,114.93,102.25,25.0,13.2,13.2,827.0,34.0,2.0,11.0,618.0,5.78,4.95,1.03,True,2.0,0.184,15,13,30,-2,56,Buy on Breakout
DOLLAR,DOLLAR INDUSTRIES LIMITED,14833500.0,55000.0,1,24-06-2026,55000.0,1,14833500.0,269.7,0.0,0,1.48,14833500.0,0.0,14833500.0,0.0,False,False,False,264.25,73.09,268.1,292.39,-3.7,-2.0,2.0,1496.0,13.5,6.0,46.0,18.0,4.31,13.6,0.28,True,12.0,0.099,17,21,0,0,38,Fundamental Watch
STANLEY,STANLEY LIFESTYLES LIMITED,14688935.0,101000.0,1,03-06-2026,101000.0,1,14688935.0,145.44,0.0,0,1.47,14688935.0,0.0,14688935.0,0.0,False,False,False,135.48,56.81,148.36,166.92,-12.9,-6.8,6.8,777.0,81.5,-7.0,5.15,-56.0,0.67,4.4,0.2,True,9.33,0.189,12,9,0,-3,18,Avoid
EIEL,ENVIRO INFRA ENGINEERS LIMITED,13430794.0,70000.0,3,02-09-2026,70000.0,3,13430794.0,191.87,0.0,0,1.34,13430794.0,0.0,13430794.0,0.0,False,False,False,199.17,70.02,214.45,194.79,30.5,3.8,3.8,3496.0,20.7,-4.0,51.0,-9.0,2.04,20.8,0.15,False,21.0,0.038,20,12,20,0,52,Buy on Breakout
MBEL,M & B Engineering Limited,12860369.0,44000.0,4,16-06-2026,44000.0,4,12860369.0,292.28,0.0,0,1.29,12860369.0,0.0,12860369.0,0.0,False,False,False,270.15,70.45,294.95,320.16,-7.5,-7.6,7.6,1547.0,19.6,13.0,21.0,-4.0,2.56,19.9,0.13,False,8.0,0.083,20,12,0,0,32,Fundamental Watch
VIVIANA,VIVIANA POWER TECH LIMITED,12408320.0,15222.0,3,29-06-2026,15222.0,3,12408320.0,815.16,0.0,0,1.24,12408320.0,0.0,12408320.0,0.0,False,False,False,804.7,73.2,741.56,,-11.5,-1.3,1.3,815.0,14.8,185.0,11.55,204.0,6.84,50.7,0.81,True,16.07,0.152,20,22,5,0,47,Watchlist
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,12172624.0,413742.0,14,25-06-2026,413742.0,14,12172624.0,29.42,0.0,0,1.22,12172624.0,0.0,12172624.0,0.0,False,False,False,28.71,69.03,27.22,24.65,45.0,-2.4,2.4,112.0,80.6,-1.0,0.4,26.0,0.59,-0.18,0.0,False,21.51,1.089,25,10,20,-3,52,Buy on Breakout
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,11080000.0,45500.0,3,25-08-2026,45500.0,3,11080000.0,243.52,0.0,0,1.11,11080000.0,0.0,11080000.0,0.0,False,False,False,254.45,67.65,249.74,180.75,67.3,4.5,4.5,675.0,56.4,3.0,2.99,97.0,1.0,11.6,0.0,True,16.21,0.164,20,16,25,0,61,Buy on Breakout
ARSSBL,Anand Rathi Share and Stock Brokers Limited,10900691.0,20000.0,1,16-06-2026,20000.0,1,10900691.0,545.03,0.0,0,1.09,10900691.0,0.0,10900691.0,0.0,False,False,False,515.05,69.9,526.62,560.2,4.8,-5.5,5.5,3247.0,22.0,17.0,97.0,53.0,3.73,19.8,0.62,True,40.0,0.034,17,27,5,0,49,Watchlist
SILVERTUC,SILVER TOUCH TECHNOLOGIES LIMITED,10836064.0,63000.0,3,03-09-2026,63000.0,3,10836064.0,172.0,0.0,0,1.08,10836064.0,0.0,10836064.0,0.0,False,False,False,167.97,74.59,190.55,540.97,-87.7,-2.3,2.3,2130.0,48.9,20.0,17.0,83.0,0.8,30.3,0.2,True,23.0,0.051,20,30,0,0,50,Buy on Breakout
SIGIND,Signet Industries Limited,10402494.0,147869.0,9,28-08-2026,147869.0,9,10402494.0,70.35,0.0,0,1.04,10402494.0,0.0,10402494.0,0.0,False,False,False,70.37,72.57,57.73,51.68,51.8,0.0,0.0,205.0,8.7,17.0,27.97,17.0,2.73,13.7,1.86,True,9.14,0.507,25,23,25,0,73,Strong Buy Setup
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,10018844.0,587858.0,5,02-09-2026,587858.0,5,10018844.0,17.04,0.0,0,1.0,10018844.0,0.0,10018844.0,0.0,False,False,False,17.89,58.19,14.2,15.05,18.2,5.0,5.0,313.0,71.4,111.0,5.69,70.0,0.28,2.19,0.17,False,40.01,0.319,20,15,20,-3,52,Buy on Breakout
VISAKAIND,Visaka Industries Limited,9980229.0,135049.0,8,18-06-2026,135049.0,8,9980229.0,73.9,0.0,0,1.0,9980229.0,0.0,9980229.0,0.0,False,False,False,93.37,48.42,86.83,71.9,54.7,26.3,26.3,808.0,12.0,11.0,88.0,439.0,5.79,7.03,0.36,True,15.0,0.124,15,21,30,0,66,Strong Buy Setup
GREENPANEL,Greenpanel Industries Limited,9904150.0,61500.0,1,28-08-2026,61500.0,1,9904150.0,161.04,0.0,0,0.99,9904150.0,0.0,9904150.0,0.0,False,False,False,158.32,53.12,182.52,206.33,-22.1,-1.7,1.7,1944.0,289.0,12.0,29.89,-69.0,0.1,-0.4,0.27,True,8.54,0.051,12,14,0,-3,23,Avoid
BMWVENTLTD,BMW VENTURES LIMITED,9023141.0,150000.0,2,06-08-2026,150000.0,2,9023141.0,60.15,0.0,0,0.9,9023141.0,0.0,9023141.0,0.0,False,False,False,55.36,73.01,57.62,59.04,-5.4,-8.0,8.0,480.0,12.0,19.0,21.0,20.0,1.22,12.0,0.58,True,3.4,0.188,17,23,0,-2,38,Fundamental Watch
