Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,52WeekHigh,52WeekLow,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,87.48,185.45,81.95,71.72,90.6,174.87,-43.1,-8.4,8.4,08-06-2026,24-06-2026,121.9935,91.21972,100.13076802447621,16,94,78,0,0,0,0,3,0.0,0.0,0.0,0.0,36654252.0,0.0,0.0,2,0,0.0,Stale,Stale Accumulation,100.13076802447621,-12.6,Late — Poor Entry,1813.0,32.7,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.6,25,10,0,0,35,Fundamental Watch
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,419.65,549.0,310.2,70.55,442.32,432.6,13.1,-11.6,11.6,05-08-2026,12-08-2026,462.97976851851854,467.56,474.96922973406623,7,36,29,0,0,1,8,8,0.0,0.0,9351200.0,183533810.0,183533810.0,0.0,9351200.0,1,0,0.0,Active,Mature Accumulation,474.96922973406623,-11.6,Confirmed Accumulation,3604.0,25.2,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.284,25,5,10,0,40,Watchlist
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,290000.0,1,101498680.0,350.0,0.0,0,10.15,101498680.0,0.0,101498680.0,0.0,False,False,False,363.45,455.0,252.4,42.36,347.1,300.76,33.6,3.8,3.8,17-08-2026,17-08-2026,349.9954482758621,349.9954482758621,349.9954482758621,0,24,24,0,0,1,1,1,0.0,0.0,101498680.0,101498680.0,101498680.0,0.0,101498680.0,1,0,0.0,Active,Mature Accumulation,349.9954482758621,3.8,Confirmed Accumulation,315.0,10.5,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,3.222,17,21,25,-2,61,Buy on Breakout
ALEMBICLTD,Alembic Limited,84885276.0,925695.0,5,02-09-2026,925695.0,5,84885276.0,91.7,0.0,0,8.49,84885276.0,0.0,84885276.0,0.0,False,False,False,106.5,117.72,70.46,70.88,92.8,92.24,24.7,16.1,16.1,17-08-2026,02-09-2026,87.74665695371235,99.08657187993681,91.7739742726077,16,24,8,0,3,6,6,6,0.0,23357076.0,85826103.0,85826103.0,85826103.0,0.0,85826103.0,1,0,0.0,Active,Confirmed Accumulation,91.7739742726077,16.0,Mature — Wait for Pullback,2752.0,22.5,8.0,14.0,-14.0,0.57,16.9,0.01,True,30.0,0.309,25,13,30,0,68,Strong Buy Setup
APLLTD,Alembic Pharmaceuticals Limited,76922116.0,103110.0,3,18-06-2026,103110.0,3,76922116.0,746.02,0.0,0,7.69,76922116.0,0.0,76922116.0,0.0,False,False,False,816.4,998.0,635.8,69.61,821.3,787.78,15.7,9.4,9.4,11-06-2026,18-06-2026,746.0249866666667,743.493898718731,746.0199398700418,7,91,84,0,0,0,0,2,0.0,0.0,0.0,0.0,20970242.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,746.0199398700418,9.4,Late — Poor Entry,16100.0,20.4,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.048,20,26,25,0,71,Strong Buy Setup
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,72054758.0,13860.0,6,31-08-2026,13860.0,6,72054758.0,5198.76,0.0,0,7.21,72054758.0,0.0,72054758.0,0.0,False,False,False,5081.5,7430.0,1939.5,67.16,5796.58,4365.68,42.3,-2.3,2.3,04-08-2026,31-08-2026,4810.6375,5359.038918918919,5198.755988455989,27,37,10,0,1,2,6,6,0.0,4957111.0,19879002.0,72054758.0,72054758.0,0.0,19879002.0,3,0,0.0,Active,Confirmed Accumulation,5198.755988455989,-2.3,Confirmed Accumulation,15860.0,40.4,83.0,145.0,264.0,27.38,25.5,0.64,True,5.0,0.045,20,32,15,0,67,Strong Buy Setup
NAVA,NAVA LIMITED,58307900.0,103000.0,4,07-09-2026,103000.0,4,58307900.0,566.1,0.0,0,5.83,58307900.0,0.0,58307900.0,0.0,False,False,False,558.35,739.4,501.65,48.85,573.51,583.76,2.4,-1.4,1.4,25-08-2026,07-09-2026,563.6042619047619,556.1772,566.0961165048544,13,16,3,1,2,4,4,4,2780886.0,8386730.0,58307900.0,58307900.0,58307900.0,2780886.0,58307900.0,3,0,0.0477,Fresh,Early Accumulation,566.0961165048544,-1.4,Early Accumulation,15786.0,22.6,18.0,152.0,61.0,9.39,16.5,0.01,True,29.0,0.037,15,30,5,0,50,Buy on Breakout
HCLTECH,HCL Technologies Limited,52192113.0,47261.0,1,12-06-2026,47261.0,1,52192113.0,1104.34,0.0,0,5.22,52192113.0,0.0,52192113.0,0.0,False,False,False,1207.0,1780.1,1030.0,60.82,1280.69,1382.9,-11.2,9.3,9.3,12-06-2026,12-06-2026,1104.337889591841,1104.337889591841,1104.337889591841,0,90,90,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,1104.337889591841,9.3,Late — Poor Entry,325632.0,17.9,7.0,4158.0,44.0,25.89,53.4,0.04,True,29.0,0.002,12,30,5,0,47,Watchlist
STEL,STEL HOLDINGS LIMITED,52175681.0,87226.0,36,31-08-2026,87226.0,36,52175681.0,598.17,0.0,0,5.22,52175681.0,0.0,52175681.0,0.0,False,False,False,590.2,689.95,380.0,64.68,575.44,511.9,15.4,-1.3,1.3,08-06-2026,31-08-2026,506.98048668503213,650.8548387096774,592.9971152911179,84,94,10,0,6,21,21,28,0.0,4877124.0,19212594.0,19212594.0,41414029.0,0.0,19212594.0,2,0,0.0,Active,Confirmed Accumulation,592.9971152911179,-0.5,Confirmed Accumulation,1071.0,54.6,21.0,-0.11,23.0,-0.07,1.58,0.0,False,-110.0,0.487,20,15,20,-2,53,Buy on Breakout
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,50036685.0,99795.0,8,26-08-2026,99795.0,8,50036685.0,501.39,0.0,0,5.0,50036685.0,0.0,50036685.0,0.0,False,False,False,456.25,890.0,383.5,57.33,470.09,487.74,9.9,-9.0,9.0,10-06-2026,26-08-2026,540.2861685214626,462.1643520831252,501.39470915376523,77,92,15,0,0,5,5,5,0.0,0.0,23291553.0,23291553.0,23291553.0,0.0,23291553.0,2,0,0.0,Active,Confirmed Accumulation,501.39470915376523,-9.0,Confirmed Accumulation,1015.0,17.9,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,0.493,20,20,5,0,45,Watchlist
