Symbol,BuyTxn7D,BuyValue7D,SellTxn7D,SellValue7D,NetBuyValue7D,BuyTxn15D,BuyValue15D,SellTxn15D,SellValue15D,NetBuyValue15D,BuyTxn30D,BuyValue30D,SellTxn30D,SellValue30D,NetBuyValue30D,BuyTxn60D,BuyValue60D,SellTxn60D,SellValue60D,NetBuyValue60D,BuyTxn90D,BuyValue90D,SellTxn90D,SellValue90D,NetBuyValue90D,FirstBuyDate,FirstBuyDisclosureDate,FirstBuyPrice,FirstBuyValue,LastBuyDate,LastBuyDisclosureDate,LastBuyPrice,LastBuyValue,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,UniquePromotersBuying,UniquePromotersSelling,WeightedAvgBuyPrice,BuyAcceleration,Freshness,AccumulationStage
LYKALABS,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,16,13897427.0,0,0.0,13897427.0,24-06-2026,26-06-2026,67.9138,339569.0,29-06-2026,30-06-2026,72.91204437400951,92015.0,5,73,68,5,0,70.8138321452411,0.0,Stale,Stale Accumulation
MACPOWER,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
MAGNUM,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
MAHSEAMLES,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1026988804.0,1,1007459825.0,19528979.0,30-06-2026,01-07-2026,618.7797818882931,1026988804.0,30-06-2026,01-07-2026,618.7797818882931,1026988804.0,0,67,67,1,1,618.7797818882931,0.0,Stale,Stale Accumulation
MANAKCOAT,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
MANINFRA,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,3,78892500.0,0,0.0,78892500.0,25-06-2026,29-06-2026,105.19,26297500.0,25-06-2026,29-06-2026,105.19,26297500.0,0,72,72,1,0,105.19,0.0,Stale,Stale Accumulation
MASTERTR,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,,,0.0,,,,0.0,0,,,0,0,,0.0,No Signal,No Signal
MAZDA,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,4,6747544.0,0,0.0,6747544.0,18-06-2026,20-06-2026,240.98371428571429,1686886.0,18-06-2026,20-06-2026,240.98371428571429,1686886.0,0,79,79,1,0,240.98371428571429,0.0,Stale,Stale Accumulation
MBEL,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,6,19021945.0,0,0.0,19021945.0,11-06-2026,12-06-2026,283.0559166666667,3396671.0,16-06-2026,17-06-2026,309.5979,3095979.0,5,86,81,4,0,297.217890625,0.0,Stale,Stale Accumulation
MCL,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,6,536016.0,-536016.0,0,0.0,6,536016.0,-536016.0,0,0.0,6,536016.0,-536016.0,,,,0.0,,,,0.0,0,,,0,3,,0.0,No Signal,No Signal
