Symbol,PromoterEntity,WindowDays,BuyTransactions,BuyValue,SellTransactions,SellValue,NetBuyValue,FirstTransactionDate,LastTransactionDate
INDORAMA,URMILA LOHIA,60,2,31393588.0,0,0.0,31393588.0,08-09-2026,09-09-2026
INDORAMA,URMILA LOHIA,90,2,31393588.0,0,0.0,31393588.0,08-09-2026,09-09-2026
JINDALSTEL,Beaufield Holdings Limited,7,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,Beaufield Holdings Limited,15,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,Beaufield Holdings Limited,30,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,Beaufield Holdings Limited,60,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,Beaufield Holdings Limited,90,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,JSL Overseas Limited,7,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
JINDALSTEL,JSL Overseas Limited,15,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
JINDALSTEL,JSL Overseas Limited,30,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
JINDALSTEL,JSL Overseas Limited,60,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
JINDALSTEL,JSL Overseas Limited,90,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
JINDALSTEL,Sarika Jhunjhnuwala,7,0,0.0,0,0.0,0.0,25-08-2026,03-09-2026
JINDALSTEL,Sarika Jhunjhnuwala,15,0,0.0,0,0.0,0.0,25-08-2026,03-09-2026
JINDALSTEL,Sarika Jhunjhnuwala,30,1,92111332.0,1,108203920.0,-16092588.0,25-08-2026,03-09-2026
JINDALSTEL,Sarika Jhunjhnuwala,60,1,92111332.0,1,108203920.0,-16092588.0,25-08-2026,03-09-2026
JINDALSTEL,Sarika Jhunjhnuwala,90,1,92111332.0,1,108203920.0,-16092588.0,25-08-2026,03-09-2026
KABRAEXTRU,Anand Kabra,7,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Anand Kabra,15,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Anand Kabra,30,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Anand Kabra,60,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Anand Kabra,90,1,20182173.0,0,0.0,20182173.0,23-06-2026,25-06-2026
KABRAEXTRU,Ekta Kabra,7,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Ekta Kabra,15,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Ekta Kabra,30,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Ekta Kabra,60,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Ekta Kabra,90,1,16355786.0,0,0.0,16355786.0,23-06-2026,25-06-2026
KABRAEXTRU,Kolsite Corporation LLP,7,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Kolsite Corporation LLP,15,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Kolsite Corporation LLP,30,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Kolsite Corporation LLP,60,0,0.0,0,0.0,0.0,23-06-2026,25-06-2026
KABRAEXTRU,Kolsite Corporation LLP,90,0,0.0,1,40279632.0,-40279632.0,23-06-2026,25-06-2026
LAOPALA,GENESIS EXPORTS PRIVATE LIMITED,7,2,39906048.0,0,0.0,39906048.0,16-09-2026,17-09-2026
LAOPALA,GENESIS EXPORTS PRIVATE LIMITED,15,2,39906048.0,0,0.0,39906048.0,16-09-2026,17-09-2026
LAOPALA,GENESIS EXPORTS PRIVATE LIMITED,30,2,39906048.0,0,0.0,39906048.0,16-09-2026,17-09-2026
LAOPALA,GENESIS EXPORTS PRIVATE LIMITED,60,2,39906048.0,0,0.0,39906048.0,16-09-2026,17-09-2026
LAOPALA,GENESIS EXPORTS PRIVATE LIMITED,90,2,39906048.0,0,0.0,39906048.0,16-09-2026,17-09-2026
MAHSEAMLES,Odd & Even Trades & Finance Limited,7,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Odd & Even Trades & Finance Limited,15,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Odd & Even Trades & Finance Limited,30,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Odd & Even Trades & Finance Limited,60,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Odd & Even Trades & Finance Limited,90,1,1026988804.0,0,0.0,1026988804.0,30-06-2026,30-06-2026
MAHSEAMLES,Saket Jindal,7,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Saket Jindal,15,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Saket Jindal,30,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Saket Jindal,60,0,0.0,0,0.0,0.0,30-06-2026,30-06-2026
MAHSEAMLES,Saket Jindal,90,0,0.0,1,1007459825.0,-1007459825.0,30-06-2026,30-06-2026
MANINFRA,Parag K. Shah,7,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
MANINFRA,Parag K. Shah,15,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
MANINFRA,Parag K. Shah,30,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
MANINFRA,Parag K. Shah,60,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
MANINFRA,Parag K. Shah,90,3,78892500.0,0,0.0,78892500.0,25-06-2026,25-06-2026
NPST,ASHISH AGGARWAL,7,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,ASHISH AGGARWAL,15,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,ASHISH AGGARWAL,30,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,ASHISH AGGARWAL,60,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,ASHISH AGGARWAL,90,4,96049800.0,0,0.0,96049800.0,25-06-2026,25-06-2026
NPST,DEEPAK CHAND THAKUR,7,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,DEEPAK CHAND THAKUR,15,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,DEEPAK CHAND THAKUR,30,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,DEEPAK CHAND THAKUR,60,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,DEEPAK CHAND THAKUR,90,8,159162346.0,0,0.0,159162346.0,25-06-2026,25-06-2026
NPST,SAVITA VASHIST,7,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,SAVITA VASHIST,15,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,SAVITA VASHIST,30,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,SAVITA VASHIST,60,0,0.0,0,0.0,0.0,25-06-2026,25-06-2026
NPST,SAVITA VASHIST,90,0,0.0,4,260066144.0,-260066144.0,25-06-2026,25-06-2026
NRL,NUPUR GUPTA,7,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
NRL,NUPUR GUPTA,15,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
