Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,3828,"1,900,105.00",2.85%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150548384_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,702,"348,453.00",2.86%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150548384_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,3509,"1,753,464.00",2.88%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150548384_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,101,"50,470.00",2.88%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150548384_WEB.html
WCIL,WESTERN CARRIERS (INDIA) LIMITED,RAJENDRA SETHIA,Promoter and Director,16585,"1,583,204.00",72.78%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260606_134908795_WEB.html
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,233500,"23,753,120.00",6.84%,04-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_202900601_WEB.html
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,Atul Chhotalal Ajmera,Promoter,107000,"12,436,470.00",0.05%,02-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_191649470_WEB.html
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,Sanjay Chhotalal Ajmera,Promoter,107000,"12,426,940.00",0.05%,02-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_191649470_WEB.html
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,Dhaval Rajnikant Ajmera,Promoter,257000,"29,716,630.00",0.13%,02-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_191649470_WEB.html
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,Manoj Ishwarlal Ajmera,Promoter,170000,"19,043,400.00",0.09%,02-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_191649470_WEB.html
MACPOWER,MACPOWER CNC MACHINES LIMITED,Rupeshkumar Jagdishchandra Mehta,Promoter and Director,500,"469,625.00",31.57%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_180423375_WEB.html
SINCLAIR,SINCLAIRS HOTELS LIMITED,NAVIN CHAND SUCHANTI,Promoter,42614,"3,177,558.00",6.65%,02-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_151225139_WEB.html
GOCOLORS,GO FASHION (INDIA) LIMITED,MAHALAKSHMI ELECTRONICS PRIVATE LIMITED,Promoter Group,112000,"39,285,120.00",0.21%,27-05-2026,27-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_182220531_WEB.html
GOCOLORS,GO FASHION (INDIA) LIMITED,MAHALAKSHMI ELECTRONICS PRIVATE LIMITED,Promoter Group,12600,"3,951,486.00",0.24%,29-05-2026,29-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_182220531_WEB.html
GOCOLORS,GO FASHION (INDIA) LIMITED,MAHALAKSHMI ELECTRONICS PRIVATE LIMITED,Promoter Group,29659,"9,602,102.00",0.29%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_182220531_WEB.html
GOCOLORS,GO FASHION (INDIA) LIMITED,MAHALAKSHMI ELECTRONICS PRIVATE LIMITED,Promoter Group,500000,"183,115,000.00",1.24%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_182220531_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,2000,"363,000.00",6.84%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_163241116_WEB.html
LANDMARK,Landmark Cars Limited,Aryaman Sanjay Thakker,Promoter Group,10000,"3,702,960.00",0.08%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_182117193_WEB.html
LANDMARK,Landmark Cars Limited,Sanjay Karsandas Thakker,Promoter and Director,13600,"5,036,026.00",36.38%,29-05-2026,29-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_003714089_WEB.html
MACPOWER,MACPOWER CNC MACHINES LIMITED,Rupeshkumar Jagdishchandra Mehta,Promoter and Director,4233,"3,887,164.00",31.56%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260601_184917772_WEB.html
PARADEEP,PARADEEP PHOSPHATES LIMITED,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,80000,"10,168,800.00",50.36%,29-05-2026,29-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260601_172643711_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,78000,"59,478,310.00",35.72%,26-05-2026,27-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260528_111908_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,60000,"45,478,352.00",35.68%,22-05-2026,25-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_195303_WEB.html
GREENPANEL,Greenpanel Industries Limited,Shobhan Mittal,Promoter and Director,164719,"30,280,183.00",13.72%,22-05-2026,22-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_142730_WEB.html
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,Sanjay Namdeo Salunkhe,Promoter,80769,"43,878,139.00",54.16%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260522_133554_WEB.html
AURUM,AURUM PROPTECH LIMITED,Aurum RealEstate Developers Limited,Promoter,25000,"4,385,081.00",47.53%,19-05-2026,19-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260519_194828_WEB.html
AURUM,AURUM PROPTECH LIMITED,Aurum RealEstate Developers Limited,Promoter,35000,"6,083,077.00",47.50%,18-05-2026,18-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260518_194958_WEB.html
SUMEETINDS,SUMEET INDUSTRIES LIMITED,Eagle  Fibres Limited,Promoter Group,3700000,"54,834,000.00",4.13%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3809_20260813_115624406_WEB.html
SUMEETINDS,SUMEET INDUSTRIES LIMITED,JPB FIBRES,Promoter Group,3700000,"54,834,000.00",6.00%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3809_20260813_115624406_WEB.html
SUMEETINDS,SUMEET INDUSTRIES LIMITED,ROHAN D MODH,Promoter Group,3950000,"58,539,000.00",14.96%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3809_20260813_115624406_WEB.html
SUMEETINDS,SUMEET INDUSTRIES LIMITED,SUPREME( INDIA ) IMPEX LIMITED,Promoter Group,3550000,"52,611,000.00",1.84%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3809_20260813_115624406_WEB.html
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,57801,"27,638,126.00",1.63%,10-08-2026,10-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260810_190347981_WEB.html
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,91705,"43,664,418.00",1.56%,07-08-2026,07-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260807_203449321_WEB.html
DBOL,Dhampur Bio Organics Limited,Sonitron Limited,Promoter Group,25000,"2,815,225.00",17.33%,05-08-2026,05-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20812_20260807_190839670_WEB.html
DBOL,Dhampur Bio Organics Limited,Sonitron Limited,Promoter Group,15000,"1,664,845.00",17.35%,06-08-2026,06-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20812_20260807_190839670_WEB.html
OBCL,OBCL LIMITED,OBCL INFRASTRUCTURE PRIVATE LIMITED,Promoter Group,232,"12,412.00",9.49%,03-08-2026,05-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20443_20260806_171948390_WEB.html
OBCL,OBCL LIMITED,OBCL INFRASTRUCTURE PRIVATE LIMITED,Promoter Group,66849,"3,546,892.00",9.80%,03-08-2026,05-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20443_20260806_171948390_WEB.html
SENCO,SENCO GOLD LIMITED,Jai Hanuman Shri Siddhivinayak Trust (Trustee- Mr. Suvankar Sen & Mrs. Joita Sen),Promoter,8920,"2,987,130.00",41.49%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20714_20260703_194833980_WEB.html
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,Sumangal International Private Limited,Promoter Group,328159,"1,922,713.00",3.59%,29-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12915_20260703_115026510_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,6189,"1,194,381.00",7.01%,29-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260701_202152620_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kakatiya Industries Pvt.Ltd,Promoter Group,4270,"826,750.00",1.39%,29-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260701_202152620_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,VIKRAM CHEMICALS PRIVATE LIMITED,Promoter Group,8911,"1,724,554.00",0.03%,29-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260701_202152620_WEB.html
ASAHIINDIA,ASAHI INDIA GLASS LIMITED,LANS Business LLP,Promoter Group,5000,"4,251,250.00",0.03%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1672_20260701_165835158_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,2700,"2,182,282.00",18.42%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134133946_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,300,"242,700.00",18.42%,29-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134133946_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,500,"411,910.00",18.42%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134133946_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,3000,"2,482,834.00",18.44%,30-06-2026,30-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260701_134133946_WEB.html
VIVIANA,VIVIANA POWER TECH LIMITED,Priyanka Richi Choksi,Promoter and Director,4379,"3,623,803.00",2.09%,25-06-2026,29-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20783_20260630_105827892_WEB.html
SHYAMCENT,SHYAM CENTURY FERROUS LIMITED,Sri Ram Vanijya Private Limited,Promoter Group,292374,"1,571,736.00",3.95%,23-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12915_20260629_185954917_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Mamta Garg,Promoter and Director,150000,"13,682,958.00",20.27%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20861_20260629_184232799_WEB.html
INDIQUBE,Indiqube Spaces Limited,MEGHNA AGARWAL,Promoter and Director,5000,"843,343.00",15.89%,23-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25080_20260627_183354662_WEB.html
LYKALABS,Lyka Labs Limited,Kunal Gandhi,Promoter,6533,"460,482.00",9.81%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172116631_WEB.html
LYKALABS,Lyka Labs Limited,Nehal Gandhi,Promoter,33122,"2,341,493.00",3.35%,24-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172116631_WEB.html
LYKALABS,Lyka Labs Limited,Alisha Gandhi,Promoter Group,5000,"339,569.00",0.14%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172116631_WEB.html
LYKALABS,Lyka Labs Limited,Enai Trading and Investment Pvt.,Promoter Group,11312,"805,323.00",2.83%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1127_20260626_172116631_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,DHANASHREE INVESTMENTS PRIVATE LIMITED,Promoter Group,78202,"17,557,664.00",4.94%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260626_142720058_WEB.html
STEL,INE577L01016,SOFREAL MERCANTRADE PRIVATE LTD,Promoter Group,2750,"1,673,700.00",1.23%,23-06-2026,23-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_4020_20260626_103357905_WEB.html
WCIL,WESTERN CARRIERS (INDIA) LIMITED,RAJENDRA SETHIA,Promoter and Director,20000,"2,099,200.00",72.82%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22116_20260625_204706001_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,ULTRA INVESTMENTS AND LEASING COMPANY PRIVATE LIMITED,Promoter Group,20000,"4,496,498.00",1.50%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260625_184330441_WEB.html
SESHAPAPER,SESHASAYEE PAPER AND BOARDS LIMITED,ULTRA INVESTMENTS AND LEASING COMPANY PRIVATE LIMITED,Promoter Group,20000,"4,496,498.00",1.50%,25-06-2026,25-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_118_20260625_180046529_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,19000,"727,320.00",33.21%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26474_20260625_175439702_WEB.html
MSPL,MSP STEEL & POWER LTD,Ginny Traders Private Limited,Promoter Group,730000,"32,224,828.00",2.51%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260625_174439623_WEB.html
MSPL,MSP STEEL & POWER LTD,Sampat Marketing Company Pvt Ltd,Promoter Group,1204000,"53,872,193.00",2.86%,19-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260625_174439623_WEB.html
MSPL,MSP STEEL & POWER LTD,Ilex Private Limited,Promoter Group,166849,"7,461,287.00",3.24%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260625_174439623_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,10000,"2,114,070.00",47.92%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260625_104232056_WEB.html
TIGERLOGS,Tiger Logistics (India) Limited,Brahma Suppliers Private Limited,Promoter Group,20000,"774,000.00",33.19%,23-06-2026,23-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26474_20260624_183822530_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,19550,"588,027.00",7.76%,24-06-2026,24-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260624_173445009_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,2000,"1,443,534.00",18.33%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260623_193135071_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,1000,"724,494.00",18.34%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260623_193135071_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,2000,"1,508,906.00",18.35%,22-06-2026,22-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260623_193135071_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,2500,"1,945,278.00",18.36%,23-06-2026,23-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260623_193135071_WEB.html
NINSYS,Nintec Systems Limited,Niraj Chhaganraj Gemawat,Promoter and Director,2500,"1,937,917.00",18.38%,23-06-2026,23-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21310_20260623_193135071_WEB.html
FIBERWEB,Fiberweb (India) Limited,Pravin V Sheth,Promoter and Director,17695,"524,254.00",5.88%,17-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19088_20260622_142226782_WEB.html
FIBERWEB,Fiberweb (India) Limited,GAYATRI PIPES AND FITTINGS PRIVATE LIMITED,Promoter Group,7000,"207,781.00",12.46%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19088_20260622_142226782_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,25000,"5,097,745.00",47.87%,19-06-2026,19-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12987_20260622_105804505_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Mamta Garg,Promoter and Director,99546,"9,288,336.00",20.20%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20861_20260620_185302006_WEB.html
MAZDA,MAZDA LIMITED,SHANAYA MODY KHATUA,Promoter and Director,7000,"1,686,886.00",31.56%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14337_20260620_144829220_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ilex Private Limited,Promoter Group,645000,"27,250,992.00",3.03%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2306_20260620_142925421_WEB.html
MAZDA,MAZDA LIMITED,SHANAYA MODY KHATUA,Promoter and Director,7000,"1,686,886.00",31.56%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_14337_20260620_125451119_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,1500,"63,415.00",22.99%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260618_174458839_WEB.html
GOKUL,GOKUL REFOILS AND SOLVENT LIMITED,Bhikhiben Balvantsinh Rajput,Promoter,17000,"720,494.00",23.01%,17-06-2026,17-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2754_20260618_174458839_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,8161,"244,278.00",7.65%,18-06-2026,18-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_279_20260618_170422280_WEB.html
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Asha Biyani,Promoter Group,20000,"10,900,691.00",0.03%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_25015_20260618_150624573_WEB.html
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,SHAKTI SONS TRUST,Promoter,9000,"4,945,348.00",18.36%,16-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5329_20260617_122353623_WEB.html
AEROENTER,AEROFLEX ENTERPRISES LIMITED,A Flex Invest Private Limited,Promoter Group,190000,"20,824,000.00",7.29%,15-06-2026,16-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_21141_20260616_191239194_WEB.html
HCLTECH,HCL Technologies Limited,Vama Sundari Investments (Delhi) Private Limited,Promoter,47261,"52,192,113.00",44.23%,11-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1828_20260616_183738581_WEB.html
FIBERWEB,Fiberweb (India) Limited,GAYATRI PIPES AND FITTINGS PRIVATE LIMITED,Promoter Group,20000,"582,128.00",12.44%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19088_20260616_150659158_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,38400,"2,945,151.00",4.98%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1388_20260616_114814658_WEB.html
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,GYAN ENTERPRISES PRIVATE LIMITED,Promoter,50249,"17,253,507.00",2.17%,12-06-2026,12-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2275_20260616_112640817_WEB.html
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,GYAN ENTERPRISES PRIVATE LIMITED,Promoter,121237,"42,173,188.00",2.34%,15-06-2026,15-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2275_20260616_112640817_WEB.html
SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,Sumer Ghumman,Promoter and Director,2200,"1,483,929.00",3.78%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260613_143223853_WEB.html
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,GYAN ENTERPRISES PRIVATE LIMITED,Promoter,52202,"17,369,986.00",2.02%,10-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_111830801_WEB.html
EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,GYAN ENTERPRISES PRIVATE LIMITED,Promoter,59000,"19,704,802.00",2.10%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_111830801_WEB.html
MBEL,M & B Engineering Limited,Chirag Hasmukhbhai Patel,Promoter and Director,12000,"3,396,671.00",24.74%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_085704163_WEB.html
MBEL,M & B Engineering Limited,Girishbhai Manibhai Patel,Promoter and Director,12000,"3,302,122.00",27.16%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260612_085704163_WEB.html
GRMOVER,GRM OVERSEAS LIMITED,Atul Garg,Promoter and Director,150000,"18,299,025.00",20.58%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_170804250_WEB.html
ALICON,ALICON CASTALLOY LIMITED,UC Rai Holding Private Limited,Promoter Group,1650,"1,077,573.00",2.06%,09-06-2026,10-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_163259924_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,14241,"416,549.00",7.40%,11-06-2026,11-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260611_160301674_WEB.html
GANDHAR,Gandhar Oil Refinery (India) Limited,Ramesh Babulal Parekh,Promoter and Director,50000,"7,876,602.00",28.67%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_151810681_WEB.html
VISAKAIND,Visaka Industries Limited,VIGILANCE SECURITY SERVICES PRIVATE LIMITED,Promoter Group,43214,"3,177,597.00",4.94%,09-06-2026,09-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260610_125554538_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Ginny Traders Private Limited,Promoter Group,2350000,"99,400,300.00",1.90%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_175210558_WEB.html
MSPL,MSP STEEL & POWER LIMITED,Sampat Marketing Company Pvt Ltd,Promoter Group,1105000,"45,640,581.00",1.99%,02-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_175210558_WEB.html
LAOPALA,LA OPALA RG LIMITED,GENESIS EXPORTS PRIVATE LIMITED,Promoter,45000,"7,874,393.00",47.07%,05-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_172204552_WEB.html
ALICON,ALICON CASTALLOY LIMITED,Ishaan Rai,Promoter and Director,1850,"1,188,833.00",0.01%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_131406681_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,25000,"4,663,589.00",47.74%,08-06-2026,08-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260609_104201082_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,3828,"1,900,105.00",2.85%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150301514_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,702,"348,453.00",2.86%,04-06-2026,04-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150301514_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,3509,"1,753,464.00",2.88%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150301514_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,101,"50,470.00",2.88%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260608_150301514_WEB.html
MOTOGENFIN,THE MOTOR & GENERAL FINANCE LIMITED,RAM PRAKASH & CO.(P) LTD,Promoter Group,62790,"1,840,948.00",6.99%,05-06-2026,05-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260605_160321467_WEB.html
GANESHCP,Ganesh Consumer Products Limited,Manish Mimani,Promoter and Director,132367,"27,001,630.00",6.07%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_113306991_WEB.html
GANESHCP,Ganesh Consumer Products Limited,Manish Mimani,Promoter and Director,107533,"22,764,484.00",6.34%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_113306991_WEB.html
NIITMTS,NIIT Learning Systems Limited,Pawar Family Trust (Through its Trustee Rajendra Singh Pawar),Promoter Group,100000,"22,295,000.00",16.38%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_164308580_WEB.html
