Symbol,Company Name,Name of Person,Category of Person,Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Securities Held Post (%),Date From,Date To,Details URL
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,4486,"2,146,524.00",2.81%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173437095_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,897,"431,434.00",2.82%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173437095_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,2984,"1,463,409.00",2.83%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173437095_WEB.html
STEL,STEL HOLDINGS LIMITED,LEBNITZE REAL ESTATES PVT LTD,Promoter Group,267,"130,941.00",2.83%,03-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_173437095_WEB.html
SINCLAIR,SINCLAIRS HOTELS LIMITED,NAVIN CHAND SUCHANTI,Promoter,42614,"3,177,558.00",6.65%,02-06-2026,03-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260604_144320850_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,2000,"363,000.00",6.84%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260603_165039608_WEB.html
LANDMARK,Landmark Cars Limited,Aryaman Sanjay Thakker,Promoter Group,10000,"3,702,960.00",0.08%,02-06-2026,02-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_182302681_WEB.html
NRL,NUPUR RECYCLERS LIMITED,Rajesh Gupta,Promoter,140,"8,782.00",36.42%,27-05-2026,27-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_153448318_WEB.html
NRL,NUPUR RECYCLERS LIMITED,Shikha Gupta,Promoter Group,190,"11,913.00",0.20%,27-05-2026,27-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_153448318_WEB.html
AURUM,Aurum PropTech Limited,Aurum RealEstate Developers Limited,Promoter,15000,"2,704,808.00",47.57%,01-06-2026,01-06-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260602_103954609_WEB.html
APLLTD,Alembic Pharmaceuticals Limited,Nirayu Private Limited,Promoter Group,20000,"14,879,996.00",35.73%,29-05-2026,29-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260601_181907098_WEB.html
IBULLSLTD,Indiabulls Limited,Valerian Real Estate Private Limited,Promoter Group,500000,"8,770,000.00",4.44%,19-05-2026,19-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_184739_WEB.html
PARADEEP,PARADEEP PHOSPHATES LIMITED,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,80000,"9,958,400.00",50.34%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_152729_WEB.html
PARADEEP,PARADEEP PHOSPHATES LIMITED,ZUARI MAROC PHOSPHATES PRIVATE LIMITED,Promoter,80000,"10,145,600.00",50.34%,22-05-2026,22-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_152729_WEB.html
FIBERWEB,Fiberweb (India) Limited,Pravin V Sheth,Promoter and Director,10000,"291,869.00",5.81%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_130430_WEB.html
FIBERWEB,Fiberweb (India) Limited,GAYATRI PIPES AND FITTINGS PRIVATE LIMITED,Promoter Group,13002,"383,506.00",12.37%,21-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260525_130430_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunwantraj Singhvi,Promoter,166600,"44,903,448.00",22.85%,19-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260521_223344_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Pratik Gunvantraj Singhvi,Promoter and Director,1005423,"268,683,992.00",5.03%,19-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260521_223344_WEB.html
EUROPRATIK,Euro Pratik Sales Limited,Jai Gunvantraj Singhvi,Promoter and Director,1109157,"297,020,886.00",5.08%,19-05-2026,21-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260521_223344_WEB.html
IBULLSLTD,Indiabulls Limited,Valerian Real Estate Private Limited,Promoter Group,1741914,"33,920,564.00",4.42%,14-05-2026,18-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260520_175014_WEB.html
STYLAMIND,STYLAM INDUSTRIES LIMITED,"Aica Kogyo Company, Limited",Promoter,466116,"1,048,761,000.00",29.87%,22-04-2026,06-05-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20260518_170912_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kalidindi Ravi,Promoter and Director,7394,"1,283,377.00",7.20%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260813_110442973_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,Kakatiya Industries Pvt.Ltd,Promoter Group,1500,"260,505.00",1.40%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260813_110442973_WEB.html
NCLIND,NCL INDUSTRIES LIMITED,VIKRAM CHEMICALS PRIVATE LIMITED,Promoter Group,200,"34,700.00",0.04%,12-08-2026,12-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260813_110442973_WEB.html
ASAHISONG,ASAHI SONGWON COLORS LIMITED,Arjun Gokul Jaykrishna,Promoter and Director,10000,"3,381,000.00",0.42%,11-08-2026,11-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5165_20260812_163554411_WEB.html
TRUALT,TRUALT BIOENERGY LIMITED,NIRANI HOLDINGS PRIVATE LIMITED,Promoter Group,24200,"11,576,796.00",1.65%,11-08-2026,11-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_24291_20260812_145522890_WEB.html
AVONMORE,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,Promoter,260000,"2,963,578.00",33.33%,11-08-2026,11-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20397_20260812_101130527_WEB.html
NURECA,NURECA LIMITED,Smita Goyal,Promoter Group,5975,"1,799,371.00",0.06%,24-07-2026,24-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260811_173148073_WEB.html
NURECA,NURECA LIMITED,Smita Goyal,Promoter Group,800,"240,280.00",0.07%,24-07-2026,24-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260811_173148073_WEB.html
NURECA,NURECA LIMITED,Smita Goyal,Promoter Group,20355,"6,327,962.00",0.28%,27-07-2026,27-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260811_173148073_WEB.html
NURECA,NURECA LIMITED,Smita Goyal,Promoter Group,6500,"2,017,990.00",0.35%,28-07-2026,28-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260811_173148073_WEB.html
NURECA,NURECA LIMITED,Smita Goyal,Promoter Group,8000,"2,545,920.00",0.44%,29-07-2026,29-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260811_173148073_WEB.html
NURECA,NURECA LIMITED,Smita Goyal,Promoter Group,1000,"323,225.00",0.45%,29-07-2026,29-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260811_173148073_WEB.html
NURECA,NURECA LIMITED,Smita Goyal,Promoter Group,2683,"868,970.00",0.47%,31-07-2026,31-07-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_18918_20260811_173148073_WEB.html
THANGAMAYL,THANGAMAIYL JEWELLERY LIMITED,BALUSAMY SILVEARS JEWELLERY PRIVATE LIMITED,Promoter Group,1330,"6,982,391.00",1.76%,07-08-2026,07-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3067_20260811_122242812_WEB.html
CHEMBONDCH,CHEMBOND CHEMICALS LIMITED,NIRMAL V SHAH,Promoter and Director,10000,"2,300,000.00",26.05%,06-08-2026,06-08-2026,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26029_20260809_150936453_WEB.html
